date,max_temperature
2019-01-01,57
2019-01-02,41
2019-01-03,45
2019-01-04,44
2019-01-05,45
2019-01-06,50
2019-01-07,35
2019-01-08,39
2019-01-09,45
2019-01-10,34
2019-01-11,32
2019-01-12,35
2019-01-13,35
2019-01-14,35
2019-01-15,37
2019-01-16,37
2019-01-17,32
2019-01-18,35
2019-01-19,35
2019-01-20,39
2019-01-21,13
2019-01-22,32
2019-01-23,40
2019-01-24,59
2019-01-25,38
2019-01-26,35
2019-01-27,46
2019-01-28,34
2019-01-29,34
2019-01-30,31
2019-01-31,15
2019-02-01,20
2019-02-02,32
2019-02-03,53
2019-02-04,63
2019-02-05,67
2019-02-06,47
2019-02-07,44
2019-02-08,54
2019-02-09,32
2019-02-10,35
2019-02-11,36
2019-02-12,32
2019-02-13,40
2019-02-14,45
2019-02-15,61
2019-02-16,46
2019-02-17,38
2019-02-18,41
2019-02-19,36
2019-02-20,31
2019-02-21,50
2019-02-22,44
2019-02-23,40
2019-02-24,45
2019-02-25,41
2019-02-26,38
2019-02-27,32
2019-02-28,37
2019-03-01,33
2019-03-02,41
2019-03-03,44
2019-03-04,38
2019-03-05,31
2019-03-06,25
2019-03-07,32
2019-03-08,39
2019-03-09,52
2019-03-10,39
2019-03-11,53
2019-03-12,42
2019-03-13,50
2019-03-14,60
2019-03-15,76
2019-03-16,56
2019-03-17,46
2019-03-18,45
2019-03-19,50
2019-03-20,55
2019-03-21,45
2019-03-22,50
2019-03-23,49
2019-03-24,61
2019-03-25,51
2019-03-26,49
2019-03-27,49
2019-03-28,58
2019-03-29,57
2019-03-30,76
2019-03-31,62
2019-04-01,46
2019-04-02,52
2019-04-03,65
2019-04-04,61
2019-04-05,42
2019-04-06,69
2019-04-07,71
2019-04-08,78
2019-04-09,60
2019-04-10,60
2019-04-11,54
2019-04-12,75
2019-04-13,78
2019-04-14,70
2019-04-15,70
2019-04-16,64
2019-04-17,64
2019-04-18,66
2019-04-19,79
2019-04-20,72
2019-04-21,65
2019-04-22,65
2019-04-23,80
2019-04-24,72
2019-04-25,66
2019-04-26,57
2019-04-27,62
2019-04-28,53
2019-04-29,61
2019-04-30,71
2019-05-01,55
2019-05-02,81
2019-05-03,57
2019-05-04,72
2019-05-05,57
2019-05-06,72
2019-05-07,76
2019-05-08,73
2019-05-09,59
2019-05-10,78
2019-05-11,70
2019-05-12,55
2019-05-13,47
2019-05-14,55
2019-05-15,71
2019-05-16,74
2019-05-17,78
2019-05-18,78
2019-05-19,87
2019-05-20,85
2019-05-21,72
2019-05-22,76
2019-05-23,75
2019-05-24,75
2019-05-25,74
2019-05-26,87
2019-05-27,82
2019-05-28,71
2019-05-29,75
2019-05-30,73
2019-05-31,79
2019-06-01,81
2019-06-02,81
2019-06-03,70
2019-06-04,71
2019-06-05,84
2019-06-06,84
2019-06-07,82
2019-06-08,81
2019-06-09,77
2019-06-10,70
2019-06-11,77
2019-06-12,76
2019-06-13,68
2019-06-14,74
2019-06-15,82
2019-06-16,80
2019-06-17,77
2019-06-18,75
2019-06-19,70
2019-06-20,81
2019-06-21,77
2019-06-22,80
2019-06-23,84
2019-06-24,85
2019-06-25,87
2019-06-26,88
2019-06-27,90
2019-06-28,92
2019-06-29,90
2019-06-30,83
2019-07-01,84
2019-07-02,86
2019-07-03,90
2019-07-04,91
2019-07-05,87
2019-07-06,89
2019-07-07,87
2019-07-08,78
2019-07-09,86
2019-07-10,88
2019-07-11,85
2019-07-12,86
2019-07-13,86
2019-07-14,88
2019-07-15,86
2019-07-16,90
2019-07-17,93
2019-07-18,84
2019-07-19,92
2019-07-20,94
2019-07-21,95
2019-07-22,90
2019-07-23,75
2019-07-24,85
2019-07-25,85
2019-07-26,89
2019-07-27,89
2019-07-28,89
2019-07-29,91
2019-07-30,93
2019-07-31,88
2019-08-01,88
2019-08-02,86
2019-08-03,87
2019-08-04,89
2019-08-05,84
2019-08-06,84
2019-08-07,87
2019-08-08,85
2019-08-09,83
2019-08-10,81
2019-08-11,81
2019-08-12,85
2019-08-13,80
2019-08-14,82
2019-08-15,84
2019-08-16,86
2019-08-17,91
2019-08-18,94
2019-08-19,93
2019-08-20,93
2019-08-21,90
2019-08-22,91
2019-08-23,75
2019-08-24,79
2019-08-25,79
2019-08-26,78
2019-08-27,78
2019-08-28,82
2019-08-29,83
2019-08-30,87
2019-08-31,83
2019-09-01,81
2019-09-02,83
2019-09-03,86
2019-09-04,88
2019-09-05,74
2019-09-06,68
2019-09-07,78
2019-09-08,80
2019-09-09,82
2019-09-10,82
2019-09-11,90
2019-09-12,85
2019-09-13,74
2019-09-14,76
2019-09-15,85
2019-09-16,82
2019-09-17,80
2019-09-18,75
2019-09-19,75
2019-09-20,80
2019-09-21,88
2019-09-22,90
2019-09-23,91
2019-09-24,79
2019-09-25,81
2019-09-26,85
2019-09-27,81
2019-09-28,85
2019-09-29,84
2019-09-30,70
2019-10-01,84
2019-10-02,93
2019-10-03,65
2019-10-04,66
2019-10-05,63
2019-10-06,69
2019-10-07,77
2019-10-08,66
2019-10-09,56
2019-10-10,76
2019-10-11,66
2019-10-12,73
2019-10-13,71
2019-10-14,74
2019-10-15,68
2019-10-16,65
2019-10-17,61
2019-10-18,61
2019-10-19,65
2019-10-20,53
