State,Drove alone,Carpooled,Public transportation,Walked,"Taxi, motorcycle, bike, etc.",Worked at home
Alabama,86.4,8.5,0.5,1,1,2.5
Alaska,66.7,13,1.8,8.8,5.4,4.3
Arizona,76.3,11,2.4,2.1,2.8,5.5
Arkansas,83.4,10.1,0.5,1.7,1.5,2.8
California,73.2,10.9,5.3,2.7,2.6,5.2
Colorado,74.7,9.7,3.3,2.9,2.5,6.9
Connecticut,77.9,8.3,5.1,3.1,1.2,4.3
Delaware,80.3,9.1,3.5,2.1,1.2,3.7
D.C.,32.3,5.3,38.5,13.6,5.9,4.4
Florida,79.6,9.4,2.1,1.5,2.2,5.1
Georgia,79.6,10.3,2.1,1.5,1.7,4.9
Hawaii,67.6,13.5,6.1,4.2,4.2,4.4
Idaho,78.8,9.6,0.7,3.1,2.3,5.5
Illinois,73.6,8.3,9.1,3.1,1.6,4.2
Indiana,83,8.8,1.2,2,1.7,3.3
Iowa,80.9,8.6,1.1,3.7,1.6,4.2
Kansas,82.4,9.1,0.5,2.5,1.5,4
Kentucky,82.8,9.6,1.1,2.3,1.2,3.2
Louisiana,82.6,9.6,1.3,1.7,2.3,2.4
Maine,77.4,10.6,0.7,3.9,1.6,5.7
Maryland,74,9,9.1,2.4,1.2,4.2
Massachusetts,71.8,7.4,9.9,4.8,1.7,4.4
Michigan,82.4,8.8,1.5,2.2,1.3,3.8
Minnesota,78.4,8.6,3.6,2.9,1.6,4.9
Mississippi,84,10.3,0.4,1.5,1.7,1.9
Missouri,81.7,9.2,1.6,2,1.4,4.1
Montana,75.1,10.1,0.7,5.3,2.8,6
Nebraska,81.5,9.3,0.8,2.7,1.3,4.4
Nevada,78.4,10.5,3.4,2.2,1.9,3.6
New Hampshire,81.2,8.1,1,3.1,1.1,5.4
New Jersey,72,8,11.1,2.9,2,4
New Mexico,79.2,10.5,1.1,2.3,2.6,4.4
New York,52.8,6.9,27.9,6.4,2,4
North Carolina,81.1,10,1.1,1.9,1.3,4.5
North Dakota,79,10.1,0.4,4.5,1.6,4.4
Ohio,83.6,7.8,1.7,2.2,1.2,3.5
Oklahoma,83.4,9.7,0.5,1.7,1.4,3.4
Oregon,71.6,10.3,4.3,4,3.5,6.3
Pennsylvania,76.8,8.3,5.6,3.9,1.5,3.9
Rhode Island,80.3,8,2.7,4.1,1.8,3.1
South Carolina,82.9,9,0.7,2.5,1.6,3.3
South Dakota,79.7,9.2,0.3,4.2,1.4,5.2
Tennessee,83.9,9.2,0.7,1.4,1.3,3.5
Texas,80.2,10.7,1.6,1.6,1.8,4.1
Utah,76,11.8,2.3,2.6,2.1,5.1
Vermont,75.4,9.7,1.2,5.3,1.6,6.8
Virginia,77.4,9.4,4.4,2.5,1.8,4.5
Washington,72.7,10.1,6.3,3.5,2.2,5.3
West Virginia,81.5,10.8,0.7,2.8,1.2,3.1
Wisconsin,80.5,8.2,2,3.5,1.7,4.1
Wyoming,77.1,10.8,1.5,4.6,2.3,3.7
