January,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,39,51,51,41,33,38,43,49,19,60,40
2,32,52,49,34,32,42,41,42,26,41,49
3,23,38,33,34,19,41,46,46,30,45,49
4,31,42,28,38,28,56,38,54,29,47,49
5,31,41,39,43,50,49,30,35,19,47,40
6,34,34,53,46,52,22,42,34,14,49,44
7,38,37,62,45,15,25,47,27,18,35,43
8,34,32,45,49,23,20,46,27,33,46,42
9,31,34,40,50,33,32,47,24,43,46,33
10,29,36,46,48,34,23,59,47,40,35,53
11,32,31,47,45,55,36,40,53,47,31,64
12,36,34,45,45,54,39,44,67,60,34,67
13,36,32,50,50,49,36,31,62,52,33,44
14,41,32,32,55,49,31,39,34,23,33,43
15,50,39,27,39,46,34,50,41,29,35,50
16,49,39,36,39,41,42,51,44,34,40,50
17,39,28,53,43,45,30,43,43,36,33,33
18,47,43,54,35,38,42,33,44,33,40,37
19,48,43,37,52,38,41,30,50,39,37,43
20,41,36,36,54,46,39,37,46,54,40,31
21,42,34,28,32,29,34,37,51,52,15,32
22,43,26,35,28,18,39,30,49,43,31,38
23,40,27,52,19,21,38,28,45,59,46,46
24,48,26,52,24,19,39,36,41,45,57,46
25,55,38,43,25,27,41,38,53,35,39,51
26,46,34,38,29,32,28,48,56,38,34,45
27,39,39,59,34,43,27,47,44,56,49,44
28,43,37,45,37,20,33,43,40,54,38,41
29,24,37,43,45,23,35,41,44,43,44,40
30,20,41,40,54,29,37,40,38,37,35,35
31,31,32,58,59,39,26,55,34,33,16,39
