January,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
1,40,60,19,49,43,38,33,41,51,51,39
2,49,41,26,42,41,42,32,34,49,52,32
3,49,45,30,46,46,41,19,34,33,38,23
4,49,47,29,54,38,56,28,38,28,42,31
5,40,47,19,35,30,49,50,43,39,41,31
6,44,49,14,34,42,22,52,46,53,34,34
7,43,35,18,27,47,25,15,45,62,37,38
8,42,46,33,27,46,20,23,49,45,32,34
9,33,46,43,24,47,32,33,50,40,34,31
10,53,35,40,47,59,23,34,48,46,36,29
11,64,31,47,53,40,36,55,45,47,31,32
12,67,34,60,67,44,39,54,45,45,34,36
13,44,33,52,62,31,36,49,50,50,32,36
14,43,33,23,34,39,31,49,55,32,32,41
15,50,35,29,41,50,34,46,39,27,39,50
16,50,40,34,44,51,42,41,39,36,39,49
17,33,33,36,43,43,30,45,43,53,28,39
18,37,40,33,44,33,42,38,35,54,43,47
19,43,37,39,50,30,41,38,52,37,43,48
20,31,40,54,46,37,39,46,54,36,36,41
21,32,15,52,51,37,34,29,32,28,34,42
22,38,31,43,49,30,39,18,28,35,26,43
23,46,46,59,45,28,38,21,19,52,27,40
24,46,57,45,41,36,39,19,24,52,26,48
25,51,39,35,53,38,41,27,25,43,38,55
26,45,34,38,56,48,28,32,29,38,34,46
27,44,49,56,44,47,27,43,34,59,39,39
28,41,38,54,40,43,33,20,37,45,37,43
29,40,44,43,44,41,35,23,45,43,37,24
30,35,35,37,38,40,37,29,54,40,41,20
31,39,16,33,34,55,26,39,59,58,32,31
