school_name,finalgrades,total_students,latitude,longitude,NTA
Fannie Lou Hamer Freedom High School,9 to 12,471,40.83087,-73.88626,Crotona Park East
Kingsborough Early College School,6 to 12,669,40.594291,-73.98577,Gravesend
Brooklyn Collegiate: A College Board School,9 to 12,239,40.674103,-73.913273,Ocean Hill
The Maxine Greene High School for Imaginative Inquiry,9 to 12,341,40.774351,-73.984753,Lincoln Square
Epic High School - South,9 to 12,382,40.675771,-73.816938,South Ozone Park
Eagle Academy for Young Men,6 to 12,527,40.844958,-73.89705,Claremont-Bathgate
The College Academy,9 to 12,427,40.855855,-73.92712,Washington Heights North
Flushing International High School,9 to 12,426,40.759844,-73.820548,Murray Hill
Pan American International High School,9 to 12,423,40.74373,-73.870642,Elmhurst
Park Slope Collegiate,6 to 12,690,40.669629,-73.979287,Park Slope-Gowanus
PROGRESS High School for Professional Careers,9 to 12,674,40.712184,-73.939722,Bushwick South
Orchard Collegiate Academy,9 to 12,197,40.713684,-73.986336,Lower East Side
Eagle Academy for Young Men of Harlem,6 to 12,374,40.817372,-73.947712,Central Harlem North-Polo Grounds
Townsend Harris High School,9 to 12,1182,40.73439,-73.821392,Kew Gardens Hills
Baccalaureate School for Global Education,7 to 12,534,40.755366,-73.927169,Queensbridge-Ravenswood-Long Island City
World View High School,9 to 12,551,40.882178,-73.88691,Van Cortlandt Village
Bronx Design and Construction Academy,9 to 12,452,40.818232,-73.919867,Melrose South-Mott Haven North
Dr. Susan S. McKinney Secondary School of the Arts,6 to 12,313,40.696324,-73.97578,Fort Greene
It Takes a Village Academy,9 to 12,659,40.648657,-73.922171,Rugby-Remsen Village
High School of Sports Management,9 to 12,241,40.594291,-73.98577,Gravesend
Bard High School Early College,9 to 12,615,40.719029,-73.975891,Lower East Side
Health Opportunities High School,9 to 12,497,40.815938,-73.930386,West Concourse
John Jay School for Law,9 to 12,436,40.669629,-73.979287,Park Slope-Gowanus
Jamaica Gateway to the Sciences,9 to 12,494,40.713218,-73.797237,Briarwood-Jamaica Hills
High School for Public Service: Heroes of Tomorrow,9 to 12,462,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate
High School for Contemporary Arts,9 to 12,395,40.875953,-73.86197,Williamsbridge-Olinville
Manhattan Early College School for Advertising,9 to 14,416,40.711442,-74.000851,Chinatown
Queens High School for the Sciences at York College,9 to 12,475,40.701049,-73.798151,Jamaica
Queens Metropolitan High School,9 to 12,1104,40.711367,-73.856698,Forest Hills
Manhattan Bridges High School,9 to 12,532,40.76525,-73.993105,Clinton
Bronx Center for Science and Mathematics,9 to 12,448,40.833665,-73.902499,Claremont-Bathgate
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",6 to 12,649,40.742839,-73.936782,Hunters Point-Sunnyside-West Maspeth
Bronx High School for Medical Science,6 to 12,419,40.840422,-73.91091,East Concourse-Concourse Village
Belmont Preparatory High School,9 to 12,390,40.860043,-73.888267,Belmont
Frank Sinatra School of the Arts High School,9 to 12,853,40.756534,-73.925121,Astoria
High School for Energy and Technology,9 to 12,406,40.855698,-73.882715,Belmont
International High School at Union Square,9 to 12,356,40.735494,-73.987659,Gramercy
Susan E. Wagner High School,9 to 12,3383,40.596803,-74.124227,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Business of Sports School,9 to 12,429,40.76337,-73.9906,Clinton
Mott Hall Bronx High School,9 to 12,379,40.839244,-73.901316,Claremont-Bathgate
Spring Creek Community School,6 to 12,528,40.657434,-73.874734,East New York
New Utrecht High School,9 to 12,3427,40.613262,-74.003404,Bensonhurst West
Leon M. Goldstein High School for the Sciences,9 to 12,1057,40.580894,-73.935952,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Quest to Learn,6 to 12,545,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
The High School for Language and Diplomacy,9 to 12,302,40.735494,-73.987659,Gramercy
Brooklyn High School for Law and Technology,9 to 12,589,40.688831,-73.920906,Stuyvesant Heights
Queens Preparatory Academy,9 to 12,387,40.668235,-73.756839,Springfield Gardens North
Jacqueline Kennedy Onassis High School,9 to 12,443,40.757729,-73.983078,Midtown-Midtown South
High School of Hospitality Management,9 to 12,380,40.76525,-73.993105,Clinton
Discovery High School,9 to 12,490,40.870293,-73.898309,Van Cortlandt Village
John Adams High School,9 to 12,2366,40.679639,-73.837298,South Ozone Park
International Community High School,9 to 12,425,40.81004,-73.917792,Mott Haven-Port Morris
Pelham Lab High School,9 to 12,475,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
Veritas Academy,9 to 12,567,40.765166,-73.82789,Flushing
Martin Van Buren High School,9 to 12,1162,40.733066,-73.738756,Bellerose
The Urban Assembly School of Business for Young Women,9 to 12,179,40.70568,-74.013302,Battery Park City-Lower Manhattan
Harry S Truman High School,9 to 12,2081,40.874091,-73.833904,Co-op City
High School for Violin and Dance,9 to 12,253,40.827642,-73.904473,Morrisania-Melrose
Bronx Lab School,9 to 12,371,40.875953,-73.86197,Williamsbridge-Olinville
Academy for Excellence in Leadership,9 to 12,238,40.697185,-73.91117,Bushwick North
Stuyvesant High School,9 to 12,3316,40.7177,-74.01399,Battery Park City-Lower Manhattan
Frederick Douglass Academy,6 to 12,1257,40.824319,-73.93712,Central Harlem North-Polo Grounds
Academy for Conservation and the Environment,9 to 12,300,40.633285,-73.916735,Canarsie
George Westinghouse Career and Technical Education High School,9 to 12,776,40.694926,-73.986015,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Tottenville High School,9 to 12,3654,40.528092,-74.192032,Annadale-Huguenot-Prince's Bay-Eltingville
Frederick Douglass Academy VII High School,9 to 12,153,40.665878,-73.911705,Brownsville
Bronx High School of Business,9 to 12,275,40.840422,-73.91091,East Concourse-Concourse Village
Careers in Sports High School,9 to 12,528,40.82231,-73.923829,East Concourse-Concourse Village
FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,9 to 12,277,40.667456,-73.894747,East New York (Pennsylvania Ave)
New Design High School,9 to 12,426,40.717349,-73.989596,Chinatown
Brooklyn Studio Secondary School,6 to 12,929,40.604879,-73.994404,Bensonhurst West
High School of Arts and Technology,9 to 12,492,40.774351,-73.984753,Lincoln Square
Academy for College Preparation and Career Exploration: A College Board School,6 to 12,360,40.649787,-73.95855,Erasmus
Baruch College Campus High School,9 to 12,475,40.74193,-73.986521,Hudson Yards-Chelsea-Flatiron-Union Square
Wings Academy,9 to 12,463,40.841794,-73.875366,East Tremont
West Bronx Academy for the Future,6 to 12,609,40.860043,-73.888267,Belmont
"Celia Cruz Bronx High School of Music, The",9 to 12,421,40.870293,-73.898309,Van Cortlandt Village
Brooklyn College Academy,9 to 12,660,40.649404,-73.971736,Windsor Terrace
Queens Collegiate: A College Board School,6 to 12,669,40.713218,-73.797237,Briarwood-Jamaica Hills
Bronx Career and College Preparatory High School,9 to 12,268,40.827743,-73.900105,Longwood
Brooklyn High School of the Arts,9 to 12,939,40.683559,-73.98027,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Gregorio Luperon High School for Science and Mathematics,9 to 12,521,40.838167,-73.938642,Washington Heights South
Williamsburg High School for Architecture and Design,9 to 12,580,40.715073,-73.954754,North Side-South Side
Bronx Studio School for Writers and Artists,6 to 12,645,40.820579,-73.893128,Hunts Point
East-West School of International Studies,6 to 12,649,40.749545,-73.822073,Flushing
Park East High School,9 to 12,389,40.790543,-73.944356,East Harlem South
Robert F. Kennedy Community High School,9 to 12,702,40.725603,-73.810697,Kew Gardens Hills
Dreamyard Preparatory School,9 to 12,271,40.840422,-73.91091,East Concourse-Concourse Village
"Mathematics, Science Research and Technology Magnet High School",9 to 12,407,40.697819,-73.745728,Cambria Heights
Victory Collegiate High School,9 to 12,341,40.633285,-73.916735,Canarsie
Urban Assembly New York Harbor School,9 to 12,533,40.701695,-74.011631,Battery Park City-Lower Manhattan
Brooklyn Technical High School,9 to 12,5937,40.688834,-73.976905,Fort Greene
Multicultural High School,9 to 12,267,40.691146,-73.868328,park-cemetery-etc-Brooklyn
Gotham Collaborative High School,9 to 12,532,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
Eagle Academy for Young Men III,6 to 12,497,40.691712,-73.778923,St. Albans
The Urban Assembly School for Global Commerce,9 to 12,250,40.807383,-73.939433,Central Harlem North-Polo Grounds
Longwood Preparatory Academy,9 to 12,342,40.817512,-73.898212,Longwood
Gaynor McCown Expeditionary Learning School,9 to 12,434,40.581315,-74.158589,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Bronx Leadership Academy II High School,9 to 12,511,40.82231,-73.923829,East Concourse-Concourse Village
El Puente Academy for Peace and Justice,9 to 12,224,40.705898,-73.955611,Williamsburg
University Neighborhood High School,9 to 12,483,40.712399,-73.984497,Lower East Side
The School for Human Rights,9 to 12,352,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate
John Dewey High School,9 to 12,2203,40.589268,-73.981738000000007,Gravesend
