year,typeOfDeath,country,region
2018,Murder,Afghanistan,South Asia
1998,Dangerous Assignment,Ethiopia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
1996,Murder,Algeria,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,N/A,"Yemen, Rep.",Middle East & North Africa
2012,Murder,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2016,Crossfire,Libya,Middle East & North Africa
1993,Murder,Algeria,Middle East & North Africa
2016,Murder,Somalia,Sub-Saharan Africa
2013,Murder,Somalia,Sub-Saharan Africa
2019,Dangerous Assignment,Somalia,Sub-Saharan Africa
2012,N/A,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2018,N/A,Somalia,Sub-Saharan Africa
2014,Murder,Somalia,Sub-Saharan Africa
2018,N/A,Somalia,Sub-Saharan Africa
2011,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2020,Murder,Somalia,Sub-Saharan Africa
2011,N/A,Pakistan,South Asia
1999,N/A,Côte d'Ivoire,Sub-Saharan Africa
2008,Crossfire,Pakistan,South Asia
2017,Dangerous Assignment,Bangladesh,South Asia
2019,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Pakistan,South Asia
2018,Murder,Afghanistan,South Asia
2020,Crossfire,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Pakistan,South Asia
2006,Dangerous Assignment,Afghanistan,South Asia
2013,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2014,N/A,"Yemen, Rep.",Middle East & North Africa
2018,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Pakistan,South Asia
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2008,Murder,Afghanistan,South Asia
1994,Crossfire,South Africa,Sub-Saharan Africa
2010,Dangerous Assignment,Pakistan,South Asia
2016,N/A,Syrian Arab Republic,Middle East & North Africa
2005,N/A,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
1999,Murder,Sierra Leone,Sub-Saharan Africa
2014,Murder,Somalia,Sub-Saharan Africa
2007,Crossfire,Somalia,Sub-Saharan Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2018,N/A,"Yemen, Rep.",Middle East & North Africa
2018,Crossfire,"Yemen, Rep.",Middle East & North Africa
2018,Murder,Somalia,Sub-Saharan Africa
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2015,Crossfire,"Yemen, Rep.",Middle East & North Africa
2013,N/A,Syrian Arab Republic,Middle East & North Africa
2003,Dangerous Assignment,Somalia,Sub-Saharan Africa
2010,N/A,Somalia,Sub-Saharan Africa
2017,Murder,Somalia,Sub-Saharan Africa
2009,Murder,Russian Federation,Europe & Central Asia
2007,Murder,Iraq,Middle East & North Africa
2008,N/A,Guatemala,Latin America & Caribbean
2007,Crossfire,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2018,Crossfire,India,South Asia
2015,Murder,South Sudan,Sub-Saharan Africa
2000,N/A,Russian Federation,Europe & Central Asia
2015,Dangerous Assignment,United States,North America
2010,N/A,Argentina,Latin America & Caribbean
